numero proveedor,nombre proveedor,cuit,categoria proveedor,tipo de contribuyente,observaciones,contacto,correo electronico,telefono,razon social,importe,fecha,nro_cuenta,ciudad,pais,nombre de cuenta,descripcion,mes
P00017,Julio Fernandez,30-86430976-9,Materiales,Monotributista,-,Julio Fernandez,julio.fernandez@correo.com,7890-1234,S.A.,136358.0,2024-05-01,516000,Rio Gallegos,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",mayo
P00017,Julio Fernandez,30-86430976-9,Materiales,Monotributista,-,Julio Fernandez,julio.fernandez@correo.com,7890-1234,S.A.,288537.0,2024-03-05,516000,Rio Gallegos,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",marzo
P00018,Consultora Zeta,30-19283747-0,Servicios,Responsable Inscripto,-, Laura Sanchez,laura.sanchez@empresa.com,8901-2345,S.R.L.,122441.0,2024-01-03,501400,San Rafael,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",enero
P00018,Consultora Zeta,30-19283747-0,Servicios,Responsable Inscripto,-, Laura Sanchez,laura.sanchez@empresa.com,8901-2345,S.R.L.,133962.0,2024-02-04,501400,San Rafael,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",febrero
P00101,Luis Martinez,20-12345678-9,Tecnologia,Monotributista,-,Luis Martinez,luis.martinez@empresa.com,0111-2345,S.R.L.,109470.0,2019-01-01,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",enero
P00101,Luis Martinez,20-12345678-9,Tecnologia,Monotributista,-,Luis Martinez,luis.martinez@empresa.com,0111-2345,S.R.L.,211512.0,2019-03-28,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",marzo
P00101,Luis Martinez,20-12345678-9,Tecnologia,Monotributista,-,Luis Martinez,luis.martinez@empresa.com,0111-2345,S.R.L.,115392.0,2019-05-28,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",mayo
P00101,Luis Martinez,20-12345678-9,Tecnologia,Monotributista,-,Luis Martinez,luis.martinez@empresa.com,0111-2345,S.R.L.,66906.0,2021-01-07,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",enero
P00101,Luis Martinez,20-12345678-9,Tecnologia,Monotributista,-,Luis Martinez,luis.martinez@empresa.com,0111-2345,S.R.L.,149277.0,2020-10-07,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",octubre
P00101,Luis Martinez,20-12345678-9,Tecnologia,Monotributista,-,Luis Martinez,luis.martinez@empresa.com,0111-2345,S.R.L.,164820.0,2023-01-01,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",enero
P00101,Luis Martinez,20-12345678-9,Tecnologia,Monotributista,-,Luis Martinez,luis.martinez@empresa.com,0111-2345,S.R.L.,84017.0,2023-10-07,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",octubre
P00102,Ana Rodriguez,30-98765432-5,Consultoria,Iva Responsable,-,Ana Rodriguez,ana.rodriguez@empresa.com,0123-5678,S.A.,12770.0,2019-01-03,501400,Bahia Blanca,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",enero
P00102,Ana Rodriguez,30-98765432-5,Consultoria,Iva Responsable,-,Ana Rodriguez,ana.rodriguez@empresa.com,0123-5678,S.A.,279575.0,2019-04-01,501400,Bahia Blanca,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",abril
P00102,Ana Rodriguez,30-98765432-5,Consultoria,Iva Responsable,-,Ana Rodriguez,ana.rodriguez@empresa.com,0123-5678,S.A.,229019.0,2019-06-01,501400,Bahia Blanca,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",junio
P00102,Ana Rodriguez,30-98765432-5,Consultoria,Iva Responsable,-,Ana Rodriguez,ana.rodriguez@empresa.com,0123-5678,S.A.,277032.0,2021-01-10,501400,Bahia Blanca,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",enero
P00102,Ana Rodriguez,30-98765432-5,Consultoria,Iva Responsable,-,Ana Rodriguez,ana.rodriguez@empresa.com,0123-5678,S.A.,170554.0,2020-10-10,501400,Bahia Blanca,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",octubre
P00102,Ana Rodriguez,30-98765432-5,Consultoria,Iva Responsable,-,Ana Rodriguez,ana.rodriguez@empresa.com,0123-5678,S.A.,109099.0,2023-01-03,501400,Bahia Blanca,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",enero
P00102,Ana Rodriguez,30-98765432-5,Consultoria,Iva Responsable,-,Ana Rodriguez,ana.rodriguez@empresa.com,0123-5678,S.A.,120929.0,2023-10-10,501400,Bahia Blanca,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",octubre
P00103,Carlos Fernandez,27-23456789-1,Energia Renovable,Monotributista,-,Carlos Fernandez,carlos.fernandez@empresa.com,0345-6789,Coop.,272036.0,2019-01-05,501400,Buenos Aires,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",enero
P00103,Carlos Fernandez,27-23456789-1,Energia Renovable,Monotributista,-,Carlos Fernandez,carlos.fernandez@empresa.com,0345-6789,Coop.,211801.0,2019-04-04,501400,Buenos Aires,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",abril
P00103,Carlos Fernandez,27-23456789-1,Energia Renovable,Monotributista,-,Carlos Fernandez,carlos.fernandez@empresa.com,0345-6789,Coop.,153534.0,2019-06-04,501400,Buenos Aires,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",junio
P00103,Carlos Fernandez,27-23456789-1,Energia Renovable,Monotributista,-,Carlos Fernandez,carlos.fernandez@empresa.com,0345-6789,Coop.,291211.0,2021-01-13,501400,Buenos Aires,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",enero
P00103,Carlos Fernandez,27-23456789-1,Energia Renovable,Monotributista,-,Carlos Fernandez,carlos.fernandez@empresa.com,0345-6789,Coop.,25100.0,2020-10-13,501400,Buenos Aires,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",octubre
P00103,Carlos Fernandez,27-23456789-1,Energia Renovable,Monotributista,-,Carlos Fernandez,carlos.fernandez@empresa.com,0345-6789,Coop.,136125.0,2023-01-05,501400,Buenos Aires,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",enero
P00103,Carlos Fernandez,27-23456789-1,Energia Renovable,Monotributista,-,Carlos Fernandez,carlos.fernandez@empresa.com,0345-6789,Coop.,151245.0,2023-10-13,501400,Buenos Aires,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",octubre
P00104,Maria Gonzalez,23-45678901-3,Transporte,Responsable Inscripto,-,Maria Gonzalez,maria.gonzalez@empresa.com,0678-3456,S.R.L.,10352.0,2019-01-07,502100,Buenos Aires,Argentina,Servicios Protagonistas,"Translados, lavado, cuidadores nocturnos, servicios sepelios, actividades recreativas, regalos, etc",enero
P00104,Maria Gonzalez,23-45678901-3,Transporte,Responsable Inscripto,-,Maria Gonzalez,maria.gonzalez@empresa.com,0678-3456,S.R.L.,199434.0,2019-04-07,502100,Buenos Aires,Argentina,Servicios Protagonistas,"Translados, lavado, cuidadores nocturnos, servicios sepelios, actividades recreativas, regalos, etc",abril
P00104,Maria Gonzalez,23-45678901-3,Transporte,Responsable Inscripto,-,Maria Gonzalez,maria.gonzalez@empresa.com,0678-3456,S.R.L.,288754.0,2021-01-16,502100,Buenos Aires,Argentina,Servicios Protagonistas,"Translados, lavado, cuidadores nocturnos, servicios sepelios, actividades recreativas, regalos, etc",enero
P00104,Maria Gonzalez,23-45678901-3,Transporte,Responsable Inscripto,-,Maria Gonzalez,maria.gonzalez@empresa.com,0678-3456,S.R.L.,241670.0,2023-01-07,502100,Buenos Aires,Argentina,Servicios Protagonistas,"Translados, lavado, cuidadores nocturnos, servicios sepelios, actividades recreativas, regalos, etc",enero
P00105,Pedro Lopez,33-56789012-4,Construccion,Monotributista,-,Pedro Lopez,pedro.lopez@empresa.com,0765-4321,S.A.,291670.0,2019-01-10,516000,Santiago del Estero,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",enero
P00105,Pedro Lopez,33-56789012-4,Construccion,Monotributista,-,Pedro Lopez,pedro.lopez@empresa.com,0765-4321,S.A.,175139.0,2019-04-10,516000,Santiago del Estero,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",abril
P00105,Pedro Lopez,33-56789012-4,Construccion,Monotributista,-,Pedro Lopez,pedro.lopez@empresa.com,0765-4321,S.A.,140691.0,2021-01-19,516000,Santiago del Estero,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",enero
P00105,Pedro Lopez,33-56789012-4,Construccion,Monotributista,-,Pedro Lopez,pedro.lopez@empresa.com,0765-4321,S.A.,257510.0,2023-01-10,516000,Santiago del Estero,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",enero
P00106,Laura Perez,20-87654321-2,Agroindustria,Iva Responsable,-,Laura Perez,laura.perez@empresa.com,0889-7654,S.R.L.,104176.0,2019-02-11,507100,Rio Cuarto,Argentina,Insumos Varios Programas Sociales,"Accesorios, utiles, higiene personal, materia prima, etc",febrero
P00106,Laura Perez,20-87654321-2,Agroindustria,Iva Responsable,-,Laura Perez,laura.perez@empresa.com,0889-7654,S.R.L.,18742.0,2019-04-13,507100,Rio Cuarto,Argentina,Insumos Varios Programas Sociales,"Accesorios, utiles, higiene personal, materia prima, etc",abril
P00106,Laura Perez,20-87654321-2,Agroindustria,Iva Responsable,-,Laura Perez,laura.perez@empresa.com,0889-7654,S.R.L.,29783.0,2021-01-22,507100,Rio Cuarto,Argentina,Insumos Varios Programas Sociales,"Accesorios, utiles, higiene personal, materia prima, etc",enero
P00106,Laura Perez,20-87654321-2,Agroindustria,Iva Responsable,-,Laura Perez,laura.perez@empresa.com,0889-7654,S.R.L.,47776.0,2023-02-11,507100,Rio Cuarto,Argentina,Insumos Varios Programas Sociales,"Accesorios, utiles, higiene personal, materia prima, etc",febrero
P00107,Javier Ramirez,30-65432109-8,Tecnologia,Monotributista,-,Javier Ramirez,javier.ramirez@empresa.com,0999-1234,S.A.,64042.0,2019-02-14,509100,San Fernando del Valle de Catamarca,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",febrero
P00107,Javier Ramirez,30-65432109-8,Tecnologia,Monotributista,-,Javier Ramirez,javier.ramirez@empresa.com,0999-1234,S.A.,271022.0,2019-04-16,509100,San Fernando del Valle de Catamarca,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",abril
P00107,Javier Ramirez,30-65432109-8,Tecnologia,Monotributista,-,Javier Ramirez,javier.ramirez@empresa.com,0999-1234,S.A.,269442.0,2021-01-25,509100,San Fernando del Valle de Catamarca,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",enero
P00107,Javier Ramirez,30-65432109-8,Tecnologia,Monotributista,-,Javier Ramirez,javier.ramirez@empresa.com,0999-1234,S.A.,51622.0,2023-02-14,509100,San Fernando del Valle de Catamarca,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",febrero
P00108,Claudia Sanchez,27-76543210-6,Energia Renovable,Responsable Inscripto,-,Claudia Sanchez,claudia.sanchez@empresa.com,0777-5678,Coop.,131033.0,2019-02-17,501400,Villa Maria,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",febrero
P00108,Claudia Sanchez,27-76543210-6,Energia Renovable,Responsable Inscripto,-,Claudia Sanchez,claudia.sanchez@empresa.com,0777-5678,Coop.,166866.0,2019-04-19,501400,Villa Maria,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",abril
P00108,Claudia Sanchez,27-76543210-6,Energia Renovable,Responsable Inscripto,-,Claudia Sanchez,claudia.sanchez@empresa.com,0777-5678,Coop.,42714.0,2021-01-28,501400,Villa Maria,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",enero
P00108,Claudia Sanchez,27-76543210-6,Energia Renovable,Responsable Inscripto,-,Claudia Sanchez,claudia.sanchez@empresa.com,0777-5678,Coop.,130133.0,2023-02-17,501400,Villa Maria,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",febrero
P00109,Daniel Morales,23-87654320-5,Transporte,Monotributista,-,Daniel Morales,daniel.morales@empresa.com,0555-4321,S.R.L.,152895.0,2019-02-20,502100,San Luis,Argentina,Servicios Protagonistas,"Translados, lavado, cuidadores nocturnos, servicios sepelios, actividades recreativas, regalos, etc",febrero
P00109,Daniel Morales,23-87654320-5,Transporte,Monotributista,-,Daniel Morales,daniel.morales@empresa.com,0555-4321,S.R.L.,230465.0,2019-04-22,502100,San Luis,Argentina,Servicios Protagonistas,"Translados, lavado, cuidadores nocturnos, servicios sepelios, actividades recreativas, regalos, etc",abril
P00109,Daniel Morales,23-87654320-5,Transporte,Monotributista,-,Daniel Morales,daniel.morales@empresa.com,0555-4321,S.R.L.,190624.0,2021-02-01,502100,San Luis,Argentina,Servicios Protagonistas,"Translados, lavado, cuidadores nocturnos, servicios sepelios, actividades recreativas, regalos, etc",febrero
P00109,Daniel Morales,23-87654320-5,Transporte,Monotributista,-,Daniel Morales,daniel.morales@empresa.com,0555-4321,S.R.L.,232698.0,2023-02-20,502100,San Luis,Argentina,Servicios Protagonistas,"Translados, lavado, cuidadores nocturnos, servicios sepelios, actividades recreativas, regalos, etc",febrero
P00110,Gabriela Torres,33-76543219-7,Construccion,Iva Responsable,-,Gabriela Torres,gabriela.torres@empresa.com,0666-2345,S.A.,192247.0,2019-01-12,516000,Chaco,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",enero
P00110,Gabriela Torres,33-76543219-7,Construccion,Iva Responsable,-,Gabriela Torres,gabriela.torres@empresa.com,0666-2345,S.A.,215535.0,2019-02-23,516000,Chaco,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",febrero
P00110,Gabriela Torres,33-76543219-7,Construccion,Iva Responsable,-,Gabriela Torres,gabriela.torres@empresa.com,0666-2345,S.A.,53588.0,2019-04-25,516000,Chaco,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",abril
P00110,Gabriela Torres,33-76543219-7,Construccion,Iva Responsable,-,Gabriela Torres,gabriela.torres@empresa.com,0666-2345,S.A.,198463.0,2021-02-04,516000,Chaco,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",febrero
P00110,Gabriela Torres,33-76543219-7,Construccion,Iva Responsable,-,Gabriela Torres,gabriela.torres@empresa.com,0666-2345,S.A.,193408.0,2023-01-12,516000,Chaco,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",enero
P00110,Gabriela Torres,33-76543219-7,Construccion,Iva Responsable,-,Gabriela Torres,gabriela.torres@empresa.com,0666-2345,S.A.,175620.0,2023-02-23,516000,Chaco,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",febrero
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,-,Jorge Herrera,jorge.herrera@empresa.com,0123-9876,S.R.L.,233493.0,2019-01-15,507100,Buenos Aires,Argentina,Insumos Varios Programas Sociales,"Accesorios, utiles, higiene personal, materia prima, etc",enero
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,-,Jorge Herrera,jorge.herrera@empresa.com,0123-9876,S.R.L.,172873.0,2019-02-26,507100,Buenos Aires,Argentina,Insumos Varios Programas Sociales,"Accesorios, utiles, higiene personal, materia prima, etc",febrero
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,-,Jorge Herrera,jorge.herrera@empresa.com,0123-9876,S.R.L.,134090.0,2019-04-28,507100,Buenos Aires,Argentina,Insumos Varios Programas Sociales,"Accesorios, utiles, higiene personal, materia prima, etc",abril
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,-,Jorge Herrera,jorge.herrera@empresa.com,0123-9876,S.R.L.,128552.0,2021-02-07,507100,Buenos Aires,Argentina,Insumos Varios Programas Sociales,"Accesorios, utiles, higiene personal, materia prima, etc",febrero
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,-,Jorge Herrera,jorge.herrera@empresa.com,0123-9876,S.R.L.,200989.0,2023-01-15,507100,Buenos Aires,Argentina,Insumos Varios Programas Sociales,"Accesorios, utiles, higiene personal, materia prima, etc",enero
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,-,Jorge Herrera,jorge.herrera@empresa.com,0123-9876,S.R.L.,248690.0,2023-02-26,507100,Buenos Aires,Argentina,Insumos Varios Programas Sociales,"Accesorios, utiles, higiene personal, materia prima, etc",febrero
P00112,Silvia Ramirez,30-76543214-8,Tecnologia,Iva Responsable,-,Silvia Ramirez,silvia.ramirez@empresa.efg,0999-2345,S.A.,39393.0,2019-01-17,509100,San Nicolas,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",enero
P00112,Silvia Ramirez,30-76543214-8,Tecnologia,Iva Responsable,-,Silvia Ramirez,silvia.ramirez@empresa.efg,0999-2345,S.A.,202116.0,2019-03-01,509100,San Nicolas,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",marzo
P00112,Silvia Ramirez,30-76543214-8,Tecnologia,Iva Responsable,-,Silvia Ramirez,silvia.ramirez@empresa.efg,0999-2345,S.A.,282553.0,2019-05-01,509100,San Nicolas,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",mayo
P00112,Silvia Ramirez,30-76543214-8,Tecnologia,Iva Responsable,-,Silvia Ramirez,silvia.ramirez@empresa.efg,0999-2345,S.A.,143848.0,2021-02-10,509100,San Nicolas,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",febrero
P00112,Silvia Ramirez,30-76543214-8,Tecnologia,Iva Responsable,-,Silvia Ramirez,silvia.ramirez@empresa.efg,0999-2345,S.A.,172745.0,2023-01-17,509100,San Nicolas,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",enero
P00112,Silvia Ramirez,30-76543214-8,Tecnologia,Iva Responsable,-,Silvia Ramirez,silvia.ramirez@empresa.efg,0999-2345,S.A.,176341.0,2023-03-01,509100,San Nicolas,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",marzo
P00113,Roberto Cruz,27-23456789-3,Energia Renovable,Responsable Inscripto,-,Roberto Cruz,roberto.cruz@empresa.com,0555-9876,Coop.,125746.0,2019-01-20,501400,Lujan,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",enero
P00113,Roberto Cruz,27-23456789-3,Energia Renovable,Responsable Inscripto,-,Roberto Cruz,roberto.cruz@empresa.com,0555-9876,Coop.,259600.0,2019-03-04,501400,Lujan,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",marzo
P00113,Roberto Cruz,27-23456789-3,Energia Renovable,Responsable Inscripto,-,Roberto Cruz,roberto.cruz@empresa.com,0555-9876,Coop.,232274.0,2019-05-04,501400,Lujan,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",mayo
P00113,Roberto Cruz,27-23456789-3,Energia Renovable,Responsable Inscripto,-,Roberto Cruz,roberto.cruz@empresa.com,0555-9876,Coop.,49747.0,2019-06-07,501400,Lujan,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",junio
P00113,Roberto Cruz,27-23456789-3,Energia Renovable,Responsable Inscripto,-,Roberto Cruz,roberto.cruz@empresa.com,0555-9876,Coop.,111656.0,2021-02-13,501400,Lujan,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",febrero
P00113,Roberto Cruz,27-23456789-3,Energia Renovable,Responsable Inscripto,-,Roberto Cruz,roberto.cruz@empresa.com,0555-9876,Coop.,43202.0,2020-10-16,501400,Lujan,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",octubre
P00113,Roberto Cruz,27-23456789-3,Energia Renovable,Responsable Inscripto,-,Roberto Cruz,roberto.cruz@empresa.com,0555-9876,Coop.,129158.0,2023-01-20,501400,Lujan,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",enero
P00113,Roberto Cruz,27-23456789-3,Energia Renovable,Responsable Inscripto,-,Roberto Cruz,roberto.cruz@empresa.com,0555-9876,Coop.,152240.0,2023-03-04,501400,Lujan,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",marzo
P00113,Roberto Cruz,27-23456789-3,Energia Renovable,Responsable Inscripto,-,Roberto Cruz,roberto.cruz@empresa.com,0555-9876,Coop.,35853.0,2023-10-16,501400,Lujan,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",octubre
P00114,Patricia Gomez,23-87654323-6,Transporte,Monotributista,-,Patricia Gomez,patricia.gomez@empresa.com,0765-3456,S.R.L.,13869.0,2019-01-22,502100,Jujuy,Argentina,Servicios Protagonistas,"Translados, lavado, cuidadores nocturnos, servicios sepelios, actividades recreativas, regalos, etc",enero
P00114,Patricia Gomez,23-87654323-6,Transporte,Monotributista,-,Patricia Gomez,patricia.gomez@empresa.com,0765-3456,S.R.L.,157396.0,2019-03-07,502100,Jujuy,Argentina,Servicios Protagonistas,"Translados, lavado, cuidadores nocturnos, servicios sepelios, actividades recreativas, regalos, etc",marzo
P00114,Patricia Gomez,23-87654323-6,Transporte,Monotributista,-,Patricia Gomez,patricia.gomez@empresa.com,0765-3456,S.R.L.,97345.0,2019-05-07,502100,Jujuy,Argentina,Servicios Protagonistas,"Translados, lavado, cuidadores nocturnos, servicios sepelios, actividades recreativas, regalos, etc",mayo
P00114,Patricia Gomez,23-87654323-6,Transporte,Monotributista,-,Patricia Gomez,patricia.gomez@empresa.com,0765-3456,S.R.L.,57351.0,2019-06-10,502100,Jujuy,Argentina,Servicios Protagonistas,"Translados, lavado, cuidadores nocturnos, servicios sepelios, actividades recreativas, regalos, etc",junio
P00114,Patricia Gomez,23-87654323-6,Transporte,Monotributista,-,Patricia Gomez,patricia.gomez@empresa.com,0765-3456,S.R.L.,251228.0,2021-02-16,502100,Jujuy,Argentina,Servicios Protagonistas,"Translados, lavado, cuidadores nocturnos, servicios sepelios, actividades recreativas, regalos, etc",febrero
P00114,Patricia Gomez,23-87654323-6,Transporte,Monotributista,-,Patricia Gomez,patricia.gomez@empresa.com,0765-3456,S.R.L.,257036.0,2020-10-19,502100,Jujuy,Argentina,Servicios Protagonistas,"Translados, lavado, cuidadores nocturnos, servicios sepelios, actividades recreativas, regalos, etc",octubre
P00114,Patricia Gomez,23-87654323-6,Transporte,Monotributista,-,Patricia Gomez,patricia.gomez@empresa.com,0765-3456,S.R.L.,226947.0,2023-01-22,502100,Jujuy,Argentina,Servicios Protagonistas,"Translados, lavado, cuidadores nocturnos, servicios sepelios, actividades recreativas, regalos, etc",enero
P00114,Patricia Gomez,23-87654323-6,Transporte,Monotributista,-,Patricia Gomez,patricia.gomez@empresa.com,0765-3456,S.R.L.,57471.0,2023-10-19,502100,Jujuy,Argentina,Servicios Protagonistas,"Translados, lavado, cuidadores nocturnos, servicios sepelios, actividades recreativas, regalos, etc",octubre
P00115,Ernesto Ruiz,33-65432198-7,Construccion,Iva Responsable,-,Ernesto Ruiz,ernesto.ruiz@empresa.com,0889-6543,S.A.,277243.0,2019-01-25,516000,Buenos Aires,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",enero
P00115,Ernesto Ruiz,33-65432198-7,Construccion,Iva Responsable,-,Ernesto Ruiz,ernesto.ruiz@empresa.com,0889-6543,S.A.,184382.0,2019-03-10,516000,Buenos Aires,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",marzo
P00115,Ernesto Ruiz,33-65432198-7,Construccion,Iva Responsable,-,Ernesto Ruiz,ernesto.ruiz@empresa.com,0889-6543,S.A.,273206.0,2019-05-10,516000,Buenos Aires,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",mayo
P00115,Ernesto Ruiz,33-65432198-7,Construccion,Iva Responsable,-,Ernesto Ruiz,ernesto.ruiz@empresa.com,0889-6543,S.A.,109321.0,2019-06-13,516000,Buenos Aires,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",junio
