Número Proveedor,Nombre Proveedor,CUIT,Categoría Proveedor,Tipo de Contribuyente,Observaciones,Contacto,Correo Electrónico,Teléfono,Razón Social,Importe,Fecha,Nro_Cuenta,Ciudad,Pais,Nombre de Cuenta,Descripción,Mes
P00009,Fernando Gómez,30-12345679-8,Materiales,RESPONSAB/LE INSCRIPTO,-, Fernando Gómez,fernando.gomez@correo.com,9012-3456,S.A.,"$151.274,00",6/3/2024,509100,Mendoza,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",marzo
P00010,Soluciones Gama,30-98765432-1,Servicios,RESPONSABLE INSCR/ITO,-,Javier Martínez,javier.martinez@empresa.com,0123-4567,S.R.L.,"$101.610,00",28/1/2024,514100,Mar del Plata,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",enero
P00010,Soluciones Gama,30-98765432-1,Servicios,RESPONSABLE INSCR/ITO,-,Javier Martínez,javier.martinez@empresa.com,0123-4567,S.R.L.,"$273.713,00",2/5/2024,514100,Mar del Plata,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",mayo
P00011,Javier López,30-65432198-7,Agente Impositivo,MONOTRIBUTISTA,-,Javier López,javier.lopez@correo.com,1234-5678,S.A.,"$291.963,00",4/6/2024,516000,Mar del Plata,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",junio
P00012,Proveedor Ltda.,30-32165487-0,Servicios,RESPONSABLE INSCR/ITO,-,Natalia Gómez,natalia.gomez@empresa.com,2345-6789,S.R.L.,"$224.379,00",9/4/2024,501400,Salta,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",abril
P00012,Proveedor Ltda.,30-32165487-0,Servicios,RESPONSABLE INSCR/ITO,-,Natalia Gómez,natalia.gomez@empresa.com,2345-6789,S.R.L.,"$153.447,00",3/6/2024,501400,Salta,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",junio
P00013,Repuestos Omega,30-45678901-2,Servicios,MONOTRIBUTISTA,-, Sergio Castro,sergio.castro@correo.com,3456-7890,S.A.,"$79.543,00",14/4/2024,503100,Santa Fe,Argentina,Alimentación,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",abril
P00013,Repuestos Omega,30-45678901-2,Servicios,MONOTRIBUTISTA,-, Sergio Castro,sergio.castro@correo.com,3456-7890,S.A.,"$41.665,00",1/2/2024,503100,Santa Fe,Argentina,Alimentación,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",febrero
P00014,Estudio Jurídico Alfa,30-13579248-7,Materiales,RESPONSABLE INSCR/ITO,-,María Hernández,maria.hernandez@correo.com,4567-8901,S.R.L.,"$58.494,00",15/1/2024,506100,San Juan,Argentina,Insumos Pedagógicos,"Material didáctico, laboratorio, deportivo, artístico, libros, revistas y subscripciones",enero
P00014,Estudio Jurídico Alfa,30-13579248-7,Materiales,RESPONSABLE INSCR/ITO,-,María Hernández,maria.hernandez@correo.com,4567-8901,S.R.L.,"$218.705,00",19/6/2024,506100,San Juan,Argentina,Insumos Pedagógicos,"Material didáctico, laboratorio, deportivo, artístico, libros, revistas y subscripciones",junio
P00015,Rosa Pérez,30-24681358-6,Agente Impositivo,RESPONSAB/LE INSCRIPTO,-,Rosa Pérez,rosa.perez@correo.com,5678-9012,S.A.,"$35.574,00",24/5/2024,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",mayo
P00015,Rosa Pérez,30-24681358-6,Agente Impositivo,RESPONSAB/LE INSCRIPTO,-,Rosa Pérez,rosa.perez@correo.com,5678-9012,S.A.,"$26.434,00",19/5/2024,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",mayo
P00016,Marketing Global,30-97531247-8,Servicios,RESPONSABLE INSCR/ITO,-,Gabriela Gómez,gabriela.gomez@empresa.com,AR6789-0123,S.R.L.,"$295.412,00",9/4/2024,514100,Neuquén,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",abril
P00016,Marketing Global,30-97531247-8,Servicios,RESPONSABLE INSCR/ITO,-,Gabriela Gómez,gabriela.gomez@empresa.com,AR6789-0123,S.R.L.,"$128.265,00",10/4/2024,514100,Neuquén,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",abril
P00017,Julio Fernández,30-86430976-9,Materiales,MONOTRIBUTISTA,-,Julio Fernández,julio.fernandez@correo.com,7890-1234,S.A.,"$136.358,00",1/5/2024,516000,Rio Gallegos,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",mayo
P00017,Julio Fernández,30-86430976-9,Materiales,MONOTRIBUTISTA,-,Julio Fernández,julio.fernandez@correo.com,7890-1234,S.A.,"$288.537,00",5/3/2024,516000,Rio Gallegos,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",marzo
P00018,Consultora Zeta,30-19283747-0,Servicios,RESPONSABLE INSCR/ITO,-, Laura Sánchez,laura.sanchez@empresa.com,8901-2345,S.R.L.,"$122.441,00",3/1/2024,501400,San Rafael,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",enero
P00018,Consultora Zeta,30-19283747-0,Servicios,RESPONSABLE INSCR/ITO,-, Laura Sánchez,laura.sanchez@empresa.com,8901-2345,S.R.L.,"$133.962,00",4/2/2024,501400,San Rafael,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",febrero
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,-,Luis Martínez,luis.martinez@empresa.com,0111-2345,S.R.L.,"$109.470,00",1/1/2019,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",enero
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,-,Luis Martínez,luis.martinez@empresa.com,0111-2345,S.R.L.,"$211.512,00",28/3/2019,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",marzo
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,-,Luis Martínez,luis.martinez@empresa.com,0111-2345,S.R.L.,"$115.392,00",28/5/2019,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",mayo
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,-,Luis Martínez,luis.martinez@empresa.com,0111-2345,S.R.L.,"$66.906,00",7/1/2021,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",enero
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,-,Luis Martínez,luis.martinez@empresa.com,0111-2345,S.R.L.,"$149.277,00",7/10/2020,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",octubre
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,-,Luis Martínez,luis.martinez@empresa.com,0111-2345,S.R.L.,"$164.820,00",1/1/2023,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",enero
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,-,Luis Martínez,luis.martinez@empresa.com,0111-2345,S.R.L.,"$84.017,00",7/10/2023,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",octubre
P00102,Ana Rodríguez,30-98765432-5,Consultoría,IVA Responsable,-,Ana Rodríguez,ana.rodriguez@empresa.com,0123-5678,S.A.,"$12.770,00",3/1/2019,501400,Bahía Blanca,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",enero
P00102,Ana Rodríguez,30-98765432-5,Consultoría,IVA Responsable,-,Ana Rodríguez,ana.rodriguez@empresa.com,0123-5678,S.A.,"$279.575,00",1/4/2019,501400,Bahía Blanca,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",abril
P00102,Ana Rodríguez,30-98765432-5,Consultoría,IVA Responsable,-,Ana Rodríguez,ana.rodriguez@empresa.com,0123-5678,S.A.,"$229.019,00",1/6/2019,501400,Bahía Blanca,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",junio
P00102,Ana Rodríguez,30-98765432-5,Consultoría,IVA Responsable,-,Ana Rodríguez,ana.rodriguez@empresa.com,0123-5678,S.A.,"$277.032,00",10/1/2021,501400,Bahía Blanca,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",enero
P00102,Ana Rodríguez,30-98765432-5,Consultoría,IVA Responsable,-,Ana Rodríguez,ana.rodriguez@empresa.com,0123-5678,S.A.,"$170.554,00",10/10/2020,501400,Bahía Blanca,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",octubre
P00102,Ana Rodríguez,30-98765432-5,Consultoría,IVA Responsable,-,Ana Rodríguez,ana.rodriguez@empresa.com,0123-5678,S.A.,"$109.099,00",3/1/2023,501400,Bahía Blanca,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",enero
P00102,Ana Rodríguez,30-98765432-5,Consultoría,IVA Responsable,-,Ana Rodríguez,ana.rodriguez@empresa.com,0123-5678,S.A.,"$120.929,00",10/10/2023,501400,Bahía Blanca,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",octubre
P00103,Carlos Fernández,27-23456789-1,Energía Renovable,Monotributista,-,Carlos Fernández,carlos.fernandez@empresa.com,0345-6789,Cooperativa,"$272.036,00",5/1/2019,501400,Buenos Aires,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",enero
P00103,Carlos Fernández,27-23456789-1,Energía Renovable,Monotributista,-,Carlos Fernández,carlos.fernandez@empresa.com,0345-6789,Cooperativa,"$211.801,00",4/4/2019,501400,Buenos Aires,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",abril
P00103,Carlos Fernández,27-23456789-1,Energía Renovable,Monotributista,-,Carlos Fernández,carlos.fernandez@empresa.com,0345-6789,Cooperativa,"$153.534,00",4/6/2019,501400,Buenos Aires,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",junio
P00103,Carlos Fernández,27-23456789-1,Energía Renovable,Monotributista,-,Carlos Fernández,carlos.fernandez@empresa.com,0345-6789,Cooperativa,"$291.211,00",13/1/2021,501400,Buenos Aires,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",enero
P00103,Carlos Fernández,27-23456789-1,Energía Renovable,Monotributista,-,Carlos Fernández,carlos.fernandez@empresa.com,0345-6789,Cooperativa,"$25.100,00",13/10/2020,501400,Buenos Aires,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",octubre
P00103,Carlos Fernández,27-23456789-1,Energía Renovable,Monotributista,-,Carlos Fernández,carlos.fernandez@empresa.com,0345-6789,Cooperativa,"$136.125,00",5/1/2023,501400,Buenos Aires,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",enero
P00103,Carlos Fernández,27-23456789-1,Energía Renovable,Monotributista,-,Carlos Fernández,carlos.fernandez@empresa.com,0345-6789,Cooperativa,"$151.245,00",13/10/2023,501400,Buenos Aires,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",octubre
P00104,María González,23-45678901-3,Transporte,Responsable Inscripto,-,María González,maria.gonzalez@empresa.com,0678-3456,S.R.L.,"$10.352,00",7/1/2019,502100,Buenos Aires,Argentina,Servicios Protagonistas,"Translados, lavado, cuidadores nocturnos, servicios sepelios, actividades recreativas, regalos, etc",enero
P00104,María González,23-45678901-3,Transporte,Responsable Inscripto,-,María González,maria.gonzalez@empresa.com,0678-3456,S.R.L.,"$199.434,00",7/4/2019,502100,Buenos Aires,Argentina,Servicios Protagonistas,"Translados, lavado, cuidadores nocturnos, servicios sepelios, actividades recreativas, regalos, etc",abril
P00104,María González,23-45678901-3,Transporte,Responsable Inscripto,-,María González,maria.gonzalez@empresa.com,0678-3456,S.R.L.,"$288.754,00",16/1/2021,502100,Buenos Aires,Argentina,Servicios Protagonistas,"Translados, lavado, cuidadores nocturnos, servicios sepelios, actividades recreativas, regalos, etc",enero
P00104,María González,23-45678901-3,Transporte,Responsable Inscripto,-,María González,maria.gonzalez@empresa.com,0678-3456,S.R.L.,"$241.670,00",7/1/2023,502100,Buenos Aires,Argentina,Servicios Protagonistas,"Translados, lavado, cuidadores nocturnos, servicios sepelios, actividades recreativas, regalos, etc",enero
P00105,Pedro López,33-56789012-4,Construcción,Monotributista,-,Pedro López,pedro.lopez@empresa.com,0765-4321,S.A.,"$291.670,00",10/1/2019,516000,Santiago del Estero,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",enero
P00105,Pedro López,33-56789012-4,Construcción,Monotributista,-,Pedro López,pedro.lopez@empresa.com,0765-4321,S.A.,"$175.139,00",10/4/2019,516000,Santiago del Estero,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",abril
P00105,Pedro López,33-56789012-4,Construcción,Monotributista,-,Pedro López,pedro.lopez@empresa.com,0765-4321,S.A.,"$140.691,00",19/1/2021,516000,Santiago del Estero,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",enero
P00105,Pedro López,33-56789012-4,Construcción,Monotributista,-,Pedro López,pedro.lopez@empresa.com,0765-4321,S.A.,"$257.510,00",10/1/2023,516000,Santiago del Estero,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",enero
P00106,Laura Pérez,20-87654321-2,Agroindustria,IVA Responsable,-,Laura Pérez,laura.perez@empresa.com,0889-7654,S.R.L.,"$104.176,00",11/2/2019,507100,Río Cuarto,Argentina,Insumos Varios Programas Sociales,"Accesorios, utiles, higiene personal, materia prima, etc",febrero
P00106,Laura Pérez,20-87654321-2,Agroindustria,IVA Responsable,-,Laura Pérez,laura.perez@empresa.com,0889-7654,S.R.L.,"$18.742,00",13/4/2019,507100,Río Cuarto,Argentina,Insumos Varios Programas Sociales,"Accesorios, utiles, higiene personal, materia prima, etc",abril
P00106,Laura Pérez,20-87654321-2,Agroindustria,IVA Responsable,-,Laura Pérez,laura.perez@empresa.com,0889-7654,S.R.L.,"$29.783,00",22/1/2021,507100,Río Cuarto,Argentina,Insumos Varios Programas Sociales,"Accesorios, utiles, higiene personal, materia prima, etc",enero
P00106,Laura Pérez,20-87654321-2,Agroindustria,IVA Responsable,-,Laura Pérez,laura.perez@empresa.com,0889-7654,S.R.L.,"$47.776,00",11/2/2023,507100,Río Cuarto,Argentina,Insumos Varios Programas Sociales,"Accesorios, utiles, higiene personal, materia prima, etc",febrero
P00107,Javier Ramírez,30-65432109-8,Tecnología,Monotributista,-,Javier Ramírez,javier.ramirez@empresa.com,0999-1234,S.A.,"$64.042,00",14/2/2019,509100,San Fernando del Valle de Catamarca,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",febrero
P00107,Javier Ramírez,30-65432109-8,Tecnología,Monotributista,-,Javier Ramírez,javier.ramirez@empresa.com,0999-1234,S.A.,"$271.022,00",16/4/2019,509100,San Fernando del Valle de Catamarca,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",abril
P00107,Javier Ramírez,30-65432109-8,Tecnología,Monotributista,-,Javier Ramírez,javier.ramirez@empresa.com,0999-1234,S.A.,"$269.442,00",25/1/2021,509100,San Fernando del Valle de Catamarca,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",enero
P00107,Javier Ramírez,30-65432109-8,Tecnología,Monotributista,-,Javier Ramírez,javier.ramirez@empresa.com,0999-1234,S.A.,"$51.622,00",14/2/2023,509100,San Fernando del Valle de Catamarca,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",febrero
P00108,Claudia Sánchez,27-76543210-6,Energía Renovable,Responsable Inscripto,-,Claudia Sánchez,claudia.sanchez@empresa.com,0777-5678,Cooperativa,"$131.033,00",17/2/2019,501400,Villa María,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",febrero
P00108,Claudia Sánchez,27-76543210-6,Energía Renovable,Responsable Inscripto,-,Claudia Sánchez,claudia.sanchez@empresa.com,0777-5678,Cooperativa,"$166.866,00",19/4/2019,501400,Villa María,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",abril
P00108,Claudia Sánchez,27-76543210-6,Energía Renovable,Responsable Inscripto,-,Claudia Sánchez,claudia.sanchez@empresa.com,0777-5678,Cooperativa,"$42.714,00",28/1/2021,501400,Villa María,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",enero
P00108,Claudia Sánchez,27-76543210-6,Energía Renovable,Responsable Inscripto,-,Claudia Sánchez,claudia.sanchez@empresa.com,0777-5678,Cooperativa,"$130.133,00",17/2/2023,501400,Villa María,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",febrero
P00109,Daniel Morales,23-87654320-5,Transporte,Monotributista,-,Daniel Morales,daniel.morales@empresa.com,0555-4321,S.R.L.,"$152.895,00",20/2/2019,502100,San Luis,Argentina,Servicios Protagonistas,"Translados, lavado, cuidadores nocturnos, servicios sepelios, actividades recreativas, regalos, etc",febrero
P00109,Daniel Morales,23-87654320-5,Transporte,Monotributista,-,Daniel Morales,daniel.morales@empresa.com,0555-4321,S.R.L.,"$230.465,00",22/4/2019,502100,San Luis,Argentina,Servicios Protagonistas,"Translados, lavado, cuidadores nocturnos, servicios sepelios, actividades recreativas, regalos, etc",abril
P00109,Daniel Morales,23-87654320-5,Transporte,Monotributista,-,Daniel Morales,daniel.morales@empresa.com,0555-4321,S.R.L.,"$190.624,00",1/2/2021,502100,San Luis,Argentina,Servicios Protagonistas,"Translados, lavado, cuidadores nocturnos, servicios sepelios, actividades recreativas, regalos, etc",febrero
P00109,Daniel Morales,23-87654320-5,Transporte,Monotributista,-,Daniel Morales,daniel.morales@empresa.com,0555-4321,S.R.L.,"$232.698,00",20/2/2023,502100,San Luis,Argentina,Servicios Protagonistas,"Translados, lavado, cuidadores nocturnos, servicios sepelios, actividades recreativas, regalos, etc",febrero
P00110,Gabriela Torres,33-76543219-7,Construcción,IVA Responsable,-,Gabriela Torres,gabriela.torres@empresa.com,0666-2345,S.A.,"$192.247,00",12/1/2019,516000,Chaco,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",enero
P00110,Gabriela Torres,33-76543219-7,Construcción,IVA Responsable,-,Gabriela Torres,gabriela.torres@empresa.com,0666-2345,S.A.,"$215.535,00",23/2/2019,516000,Chaco,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",febrero
P00110,Gabriela Torres,33-76543219-7,Construcción,IVA Responsable,-,Gabriela Torres,gabriela.torres@empresa.com,0666-2345,S.A.,"$53.588,00",25/4/2019,516000,Chaco,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",abril
P00110,Gabriela Torres,33-76543219-7,Construcción,IVA Responsable,-,Gabriela Torres,gabriela.torres@empresa.com,0666-2345,S.A.,"$198.463,00",4/2/2021,516000,Chaco,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",febrero
P00110,Gabriela Torres,33-76543219-7,Construcción,IVA Responsable,-,Gabriela Torres,gabriela.torres@empresa.com,0666-2345,S.A.,"$193.408,00",12/1/2023,516000,Chaco,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",enero
P00110,Gabriela Torres,33-76543219-7,Construcción,IVA Responsable,-,Gabriela Torres,gabriela.torres@empresa.com,0666-2345,S.A.,"$175.620,00",23/2/2023,516000,Chaco,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",febrero
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,-,Jorge Herrera,jorge.herrera@empresa.com,0123-9876,S.R.L.,"$233.493,00",15/1/2019,507100,Buenos Aires,Argentina,Insumos Varios Programas Sociales,"Accesorios, utiles, higiene personal, materia prima, etc",enero
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,-,Jorge Herrera,jorge.herrera@empresa.com,0123-9876,S.R.L.,"$172.873,00",26/2/2019,507100,Buenos Aires,Argentina,Insumos Varios Programas Sociales,"Accesorios, utiles, higiene personal, materia prima, etc",febrero
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,-,Jorge Herrera,jorge.herrera@empresa.com,0123-9876,S.R.L.,"$134.090,00",28/4/2019,507100,Buenos Aires,Argentina,Insumos Varios Programas Sociales,"Accesorios, utiles, higiene personal, materia prima, etc",abril
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,-,Jorge Herrera,jorge.herrera@empresa.com,0123-9876,S.R.L.,"$128.552,00",7/2/2021,507100,Buenos Aires,Argentina,Insumos Varios Programas Sociales,"Accesorios, utiles, higiene personal, materia prima, etc",febrero
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,-,Jorge Herrera,jorge.herrera@empresa.com,0123-9876,S.R.L.,"$200.989,00",15/1/2023,507100,Buenos Aires,Argentina,Insumos Varios Programas Sociales,"Accesorios, utiles, higiene personal, materia prima, etc",enero
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,-,Jorge Herrera,jorge.herrera@empresa.com,0123-9876,S.R.L.,"$248.690,00",26/2/2023,507100,Buenos Aires,Argentina,Insumos Varios Programas Sociales,"Accesorios, utiles, higiene personal, materia prima, etc",febrero
P00112,Silvia Ramírez,30-76543214-8,Tecnología,IVA Responsable,-,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,S.A.,"$39.393,00",17/1/2019,509100,San Nicolás,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",enero
P00112,Silvia Ramírez,30-76543214-8,Tecnología,IVA Responsable,-,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,S.A.,"$202.116,00",1/3/2019,509100,San Nicolás,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",marzo
P00112,Silvia Ramírez,30-76543214-8,Tecnología,IVA Responsable,-,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,S.A.,"$282.553,00",1/5/2019,509100,San Nicolás,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",mayo
P00112,Silvia Ramírez,30-76543214-8,Tecnología,IVA Responsable,-,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,S.A.,"$143.848,00",10/2/2021,509100,San Nicolás,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",febrero
P00112,Silvia Ramírez,30-76543214-8,Tecnología,IVA Responsable,-,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,S.A.,"$172.745,00",17/1/2023,509100,San Nicolás,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",enero
P00112,Silvia Ramírez,30-76543214-8,Tecnología,IVA Responsable,-,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,S.A.,"$176.341,00",1/3/2023,509100,San Nicolás,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",marzo
P00113,Roberto Cruz,27-23456789-3,Energía Renovable,Responsable Inscripto,-,Roberto Cruz,roberto.cruz@empresa.com,0555-9876,Cooperativa,"$125.746,00",20/1/2019,501400,Luján,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",enero
P00113,Roberto Cruz,27-23456789-3,Energía Renovable,Responsable Inscripto,-,Roberto Cruz,roberto.cruz@empresa.com,0555-9876,Cooperativa,"$259.600,00",4/3/2019,501400,Luján,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",marzo
P00113,Roberto Cruz,27-23456789-3,Energía Renovable,Responsable Inscripto,-,Roberto Cruz,roberto.cruz@empresa.com,0555-9876,Cooperativa,"$232.274,00",4/5/2019,501400,Luján,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",mayo
P00113,Roberto Cruz,27-23456789-3,Energía Renovable,Responsable Inscripto,-,Roberto Cruz,roberto.cruz@empresa.com,0555-9876,Cooperativa,"$49.747,00",7/6/2019,501400,Luján,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",junio
P00113,Roberto Cruz,27-23456789-3,Energía Renovable,Responsable Inscripto,-,Roberto Cruz,roberto.cruz@empresa.com,0555-9876,Cooperativa,"$111.656,00",13/2/2021,501400,Luján,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",febrero
